CustomerKey,MaritalStatus,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,BikeBuyer,YearlyIncome,Age
11212,M,F,2,1,High School,Professional,1,2,2-5 Miles,North America,0,40000,59
11213,S,F,2,1,Partial College,Professional,1,2,10+ Miles,North America,0,60000,60
11214,S,M,2,1,Partial College,Professional,1,2,10+ Miles,North America,0,60000,59
11215,M,F,2,1,Partial High School,Skilled Manual,1,2,10+ Miles,North America,0,40000,53
11216,S,F,2,1,Partial College,Professional,1,2,10+ Miles,North America,1,60000,59
11217,S,F,2,1,Partial College,Professional,1,2,10+ Miles,North America,1,60000,59
11218,S,F,2,1,Partial College,Professional,0,2,2-5 Miles,North America,0,60000,53
11219,M,M,2,1,High School,Professional,1,2,10+ Miles,North America,0,60000,58
11220,M,F,2,1,Partial College,Professional,1,1,10+ Miles,North America,0,60000,54
11221,M,M,4,2,Partial College,Professional,1,1,1-2 Miles,North America,0,70000,59
11222,M,F,3,1,Bachelors,Management,1,1,1-2 Miles,North America,0,80000,59
11223,S,F,2,1,High School,Professional,1,2,2-5 Miles,North America,0,70000,58
11224,S,F,2,1,High School,Professional,1,2,10+ Miles,North America,1,70000,58
11225,M,F,2,1,Partial College,Professional,1,1,10+ Miles,North America,0,60000,53
11226,M,F,2,1,Partial College,Professional,1,1,2-5 Miles,North America,0,60000,52
11227,S,M,2,1,Partial College,Professional,1,2,10+ Miles,North America,1,60000,52
11228,M,F,2,1,Partial College,Professional,1,2,10+ Miles,North America,0,60000,58
11229,S,M,4,2,Partial College,Professional,1,1,10+ Miles,North America,0,70000,57
11230,M,F,4,2,Partial College,Professional,0,2,2-5 Miles,North America,0,70000,58
11231,M,M,2,1,High School,Professional,1,2,10+ Miles,North America,0,60000,51
11232,M,F,3,1,High School,Professional,0,2,2-5 Miles,North America,0,60000,56
11233,M,M,4,2,Partial College,Professional,1,2,10+ Miles,North America,0,70000,51
11234,S,F,4,2,Partial College,Professional,1,2,10+ Miles,North America,0,70000,56
11235,M,M,4,2,Partial College,Professional,1,2,10+ Miles,North America,0,70000,57
11236,S,M,5,2,Partial College,Professional,1,2,10+ Miles,North America,0,70000,57
11237,S,M,2,3,Bachelors,Management,0,4,0-1 Miles,Europe,1,130000,50
11238,S,F,2,3,Bachelors,Management,0,4,0-1 Miles,Europe,1,130000,51
11239,M,F,2,4,Partial College,Professional,0,2,5-10 Miles,Europe,1,130000,45
11240,M,F,2,3,Partial College,Professional,1,4,5-10 Miles,Europe,1,160000,50
11241,S,F,2,3,Partial College,Professional,1,4,5-10 Miles,Europe,1,100000,40
11242,M,M,2,4,Partial College,Professional,1,3,5-10 Miles,Europe,1,110000,51
11243,M,F,2,3,Partial College,Professional,1,3,0-1 Miles,Europe,1,150000,51
11244,S,F,2,3,Bachelors,Management,0,3,0-1 Miles,Europe,1,170000,46
11245,M,M,3,4,High School,Professional,0,4,5-10 Miles,Europe,1,120000,52
11246,M,F,3,4,High School,Professional,0,4,5-10 Miles,Europe,1,120000,52
11247,S,F,3,4,Partial College,Professional,0,3,0-1 Miles,Europe,1,130000,53
11248,M,M,3,4,Partial College,Professional,1,4,10+ Miles,Europe,0,110000,48
11249,M,F,3,4,Partial College,Professional,1,3,0-1 Miles,Europe,1,130000,48
11250,M,F,3,4,High School,Professional,1,2,5-10 Miles,Europe,1,170000,49
11251,S,M,4,0,High School,Professional,0,2,5-10 Miles,North America,1,30000,77
11252,S,M,3,0,Graduate Degree,Management,1,1,2-5 Miles,North America,1,90000,77
11253,M,M,2,0,Graduate Degree,Management,1,2,1-2 Miles,North America,0,60000,65
11254,M,M,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,70000,76
11255,M,M,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,70000,76
11256,M,F,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,70000,76
11257,S,F,1,2,Graduate Degree,Management,1,4,2-5 Miles,North America,1,120000,76
11258,M,M,1,2,Graduate Degree,Management,1,4,2-5 Miles,North America,0,120000,76
11259,M,F,4,1,Partial College,Professional,1,4,2-5 Miles,North America,1,100000,44
11260,M,F,2,2,Bachelors,Management,1,3,2-5 Miles,North America,0,110000,38
11261,M,F,1,2,Graduate Degree,Management,1,1,0-1 Miles,North America,1,130000,44
11262,M,F,4,3,Bachelors,Management,1,0,0-1 Miles,North America,0,80000,39
11263,M,F,5,5,Partial College,Professional,1,3,2-5 Miles,North America,1,90000,45
11264,S,M,5,5,Partial College,Professional,0,3,0-1 Miles,North America,1,90000,45
11265,M,F,5,5,Partial College,Professional,1,3,0-1 Miles,North America,1,90000,45
11266,S,F,0,0,Partial College,Professional,0,1,5-10 Miles,North America,1,90000,45
11267,S,M,4,2,Partial College,Professional,1,4,2-5 Miles,North America,1,120000,39
11268,M,F,2,2,Graduate Degree,Management,1,2,1-2 Miles,North America,0,130000,45
11269,M,M,2,2,Graduate Degree,Management,1,2,0-1 Miles,North America,0,130000,39
11270,M,M,2,2,Graduate Degree,Management,1,3,0-1 Miles,North America,1,130000,39
11271,S,F,2,0,Bachelors,Management,0,4,1-2 Miles,North America,1,150000,45
11272,S,F,4,3,Partial College,Professional,1,0,5-10 Miles,North America,1,70000,52
11273,M,M,2,1,Partial College,Professional,1,0,10+ Miles,North America,0,90000,52
11274,M,M,2,0,Graduate Degree,Management,1,2,5-10 Miles,North America,1,50000,75
11275,M,F,4,0,Graduate Degree,Management,1,2,0-1 Miles,North America,1,80000,75
11276,M,F,4,3,Partial College,Professional,1,2,2-5 Miles,North America,0,80000,40
11277,M,M,4,3,Partial College,Professional,1,2,0-1 Miles,North America,0,80000,46
11278,S,M,0,0,Partial College,Professional,0,1,10+ Miles,North America,1,90000,46
11279,M,F,0,0,Partial College,Professional,1,1,10+ Miles,North America,0,90000,40
11280,M,M,0,0,Partial College,Professional,1,1,10+ Miles,North America,0,90000,46
11281,S,F,4,2,Bachelors,Management,1,4,5-10 Miles,North America,1,110000,40
11282,M,M,5,4,Partial College,Professional,1,4,1-2 Miles,North America,1,90000,47
11283,M,M,1,3,Bachelors,Management,1,2,1-2 Miles,North America,0,110000,46
11284,M,F,1,3,Bachelors,Management,1,2,1-2 Miles,North America,0,110000,47
11285,M,M,1,3,Partial College,Professional,0,4,2-5 Miles,North America,0,120000,42
11286,M,M,0,0,Graduate Degree,Management,1,4,2-5 Miles,North America,1,170000,47
11287,M,M,5,4,Partial College,Professional,0,3,5-10 Miles,North America,0,70000,48
11288,M,F,1,3,Bachelors,Management,1,3,2-5 Miles,North America,0,110000,37
11289,M,F,1,3,Bachelors,Management,1,1,0-1 Miles,North America,1,130000,43
11290,M,F,1,3,Bachelors,Management,1,3,2-5 Miles,North America,1,130000,42
11291,M,F,1,3,Bachelors,Management,1,3,2-5 Miles,North America,1,130000,42
11292,S,M,1,2,Partial College,Professional,0,3,0-1 Miles,North America,1,150000,47
11293,S,M,2,0,High School,Professional,0,2,1-2 Miles,North America,0,60000,54
11294,M,M,2,0,High School,Professional,0,2,1-2 Miles,North America,0,60000,54
11295,S,F,2,0,Partial High School,Skilled Manual,1,2,5-10 Miles,North America,1,80000,55
11296,S,F,2,0,Graduate Degree,Management,1,2,5-10 Miles,North America,1,50000,73
11297,S,M,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,1,70000,74
11298,M,M,4,0,Graduate Degree,Management,1,2,1-2 Miles,North America,1,70000,74
11299,M,M,4,0,Graduate Degree,Management,1,2,1-2 Miles,North America,1,70000,73
11300,M,M,5,4,Partial College,Professional,0,3,1-2 Miles,North America,0,80000,49
11301,M,M,5,4,Partial College,Professional,1,4,5-10 Miles,North America,0,80000,49
11302,S,M,4,3,High School,Professional,0,3,1-2 Miles,North America,1,90000,43
11303,S,F,4,3,High School,Professional,0,3,1-2 Miles,North America,1,90000,48
11304,M,F,0,3,Partial College,Professional,1,0,5-10 Miles,North America,0,100000,44
11305,M,M,3,3,Partial College,Professional,0,4,2-5 Miles,North America,0,110000,49
11306,M,M,3,3,Partial College,Professional,0,4,2-5 Miles,North America,0,110000,49
11307,M,M,2,0,Partial High School,Skilled Manual,1,2,5-10 Miles,North America,1,80000,49
11308,M,M,2,0,High School,Professional,0,2,1-2 Miles,North America,0,60000,55
11309,S,F,2,0,High School,Professional,1,2,5-10 Miles,North America,0,60000,55
11310,S,F,3,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,70000,50
11311,S,F,3,0,Graduate Degree,Management,0,2,1-2 Miles,North America,0,70000,56
11312,S,F,3,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,70000,56
11313,S,M,3,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,70000,56
11314,S,F,3,0,Graduate Degree,Management,0,2,1-2 Miles,North America,0,70000,44
